,Розничный Прайс-лист от 04/05/2006,,
,2011,LASHY Обезжириватель 15 мл,"65,000"
,2012,LASHY Праймер 15мл,"65,000"
,2013,"Lashy Пуддинг-ремувер ""MACAROONS"" 10гр","95,000"
,2014,"Клей Lovely LASHY ""Turbo"" 5 мл","75,000"
,2015,"Ресницы  BARBARA горький шоколад C 0,07*10","130,000"
,2016,"Ресницы  BARBARA горький шоколад C 0,07*11","130,000"
,2017,"Ресницы  BARBARA горький шоколад C 0,07*12","130,000"
,2018,"Ресницы  BARBARA горький шоколад C 0,07*7","130,000"
,2019,"Ресницы  BARBARA горький шоколад C 0,07*8","130,000"
,2020,"Ресницы  BARBARA горький шоколад C 0,10*13","130,000"
,2021,Ресницы  BARBARA горький шоколад C 0.10*10,"130,000"
,2022,Ресницы  BARBARA горький шоколад C 0.10*11,"130,000"
,2023,Ресницы  BARBARA горький шоколад C 0.10*12,"130,000"
,2024,Ресницы  BARBARA горький шоколад C 0.10*8,"130,000"
,2025,Ресницы  BARBARA горький шоколад C 0.10*9,"130,000"
,2026,"Ресницы  BARBARA горький шоколад D 0,07*10","130,000"
,2027,"Ресницы  BARBARA горький шоколад D 0,07*11","130,000"
,2028,"Ресницы  BARBARA горький шоколад D 0,07*12","130,000"
,2029,"Ресницы  BARBARA горький шоколад D 0,07*13","130,000"
,2030,"Ресницы  BARBARA горький шоколад D 0,07*8","130,000"
,2031,"Ресницы  BARBARA горький шоколад D 0,07*9","130,000"
,2032,"Ресницы  BARBARA горький шоколад D 0,10*10","130,000"
,2033,"Ресницы  BARBARA горький шоколад D 0,10*11","130,000"
,2034,"Ресницы  BARBARA горький шоколад D 0,10*12","130,000"
,2035,"Ресницы  BARBARA горький шоколад D 0,10*13","130,000"
,2036,"Ресницы  BARBARA горький шоколад D 0,10*15","130,000"
,2037,"Ресницы  BARBARA горький шоколад D 0,10*9","130,000"
,2038,Ресницы  BARBARA горький шоколад D 0.07*14,"130,000"
,2039,Ресницы  BARBARA горький шоколад D 0.07*15,"130,000"
,2040,"Ресницы  BARBARA горький шоколад С 0,07*9","130,000"
,2041,"Ресницы  BARBARA темно коричневые  C 0,07*10","130,000"
,2042,"Ресницы  BARBARA темно коричневые  C 0,07*11","130,000"
,2043,"Ресницы  BARBARA темно коричневые  C 0,07*12","130,000"
,2044,"Ресницы  BARBARA темно коричневые  C 0,07*8","130,000"
,2045,"Ресницы  BARBARA темно коричневые  C 0,07*9","130,000"
,2046,"Ресницы  BARBARA темно коричневые  C 0,10*10","130,000"
,2047,"Ресницы  BARBARA темно коричневые  C 0,10*11","130,000"
,2048,"Ресницы  BARBARA темно коричневые  C 0,10*12","130,000"
,2049,"Ресницы  BARBARA темно коричневые  C 0,10*8","130,000"
,2050,"Ресницы  BARBARA темно коричневые  C 0,10*9","130,000"
,2051,"Ресницы  BARBARA темно коричневые  D 0,10*10","130,000"
,2052,"Ресницы  BARBARA темно коричневые  D 0,10*11","130,000"
,2053,"Ресницы  BARBARA темно коричневые  D 0,10*12","130,000"
,2054,"Ресницы  BARBARA темно коричневые  D 0,10*13","130,000"
,2055,"Ресницы  BARBARA темно коричневые  D 0,10*14","130,000"
,2056,"Ресницы  BARBARA темно коричневые  D 0,10*9","130,000"
,2057,Ресницы Avital  Brown mix 3D C0.07 (16 лент),"110,000"
,2058,Ресницы Avital  Brown mix 3D D0.07 (16 лент),"110,000"
,2059,Ресницы Avital  Brown mix 4D C0.07 (16 лент),"120,000"
,2060,Ресницы Avital  Brown mix 4D D0.07 (16 лент),"120,000"
,2061,Ресницы Avital  narrow DARK BROWN 3D C007,"130,000"
,2062,Ресницы Avital  narrow DARK BROWN 3D C010,"130,000"
,2063,Ресницы Avital  narrow DARK BROWN 3D D007,"130,000"
,2064,Ресницы OH! MY LASH Spire темно коричневые C 0.07 7-13 (12 линий),"75,000"
,2065,Ресницы OH! MY LASH Spire темно коричневые D 0.07 7-13 (12 линий),"75,000"
,2066,Ресницы Avital  Mix темно коричневые C 0.07*7-13mm (20лент),"115,000"
,2067,Ресницы Avital  Mix темно коричневые C 0.10*7-13mm (20лент),"115,000"
,2068,Ресницы Avital  Mix темно коричневые D 0.07*7-13mm (20лент),"115,000"
,2069,Ресницы Avital  Mix темно коричневые D 0.10*7-13mm (20лент),"115,000"
,2070,Ресницы  BARBARA Brown Caramel C 0.07*7-15,"145,000"
,2071,Ресницы  BARBARA Brown Caramel C 0.10*7-15,"145,000"
,2072,Ресницы  BARBARA Brown Caramel D 0.07*7-15,"145,000"
,2073,Ресницы  BARBARA Brown Caramel D 0.10*7-15,"145,000"
,2074,Ресницы  BARBARA Brown Coffee C 0.07*4-11,"149,000"
,2075,Ресницы  BARBARA Brown Coffee C 0.07*7-15,"149,000"
,2076,Ресницы  BARBARA Brown Coffee C 0.10*4-11,"149,000"
,2077,Ресницы  BARBARA Brown Coffee C 0.10*7-15,"149,000"
,2078,Ресницы  BARBARA Brown Coffee D 0.07*7-15,"149,000"
,2079,Ресницы  BARBARA Brown Coffee D 0.10*7-15,"149,000"
,2080,Ресницы  BARBARA Brown Coffee L 0.07*7-15,"162,000"
,2081,Ресницы  BARBARA Brown Coffee M 0.07*7-15,"190,000"
,2082,Ресницы  BARBARA Brown Coffee M 0.10*7-15,"162,000"
,2083,Ресницы  BARBARA Brown Quartz C 0.07*4-11,"149,000"
,2084,Ресницы  BARBARA Brown Quartz C 0.10*4-11,"149,000"
,2085,Ресницы  BARBARA Brown Quartz C 0.10*7-15,"149,000"
,2086,Ресницы  BARBARA Brown Quartz D 0.07*7-15,"149,000"
,2087,Ресницы  BARBARA Brown Quartz D 0.10*7-15,"149,000"
,2088,"Ресницы  BARBARA Brown Quartz С 0,07*7-15","149,000"
,2089,Ресницы  BARBARA Brown Truffle C 0.07*4-11,"149,000"
,2090,Ресницы  BARBARA Brown Truffle D 0.07*7-15,"149,000"
,2091,Ресницы  BARBARA Brown Truffle D 0.10*7-15,"149,000"
,2092,Ресницы  BARBARA Glintwein C 0.07*7-15mm,"150,000"
,2093,Ресницы  BARBARA Glintwein C 0.10*7-15mm,"150,000"
,2094,Ресницы  BARBARA Glintwein D 0.07 7-15mm,"150,000"
,2095,Ресницы  BARBARA Glintwein D 0.10 7-15mm,"150,000"
,2096,Ресницы  BARBARA Kashtan C 0.07 4-11,"150,000"
,2097,Ресницы  BARBARA Kashtan C 0.07 7-15,"150,000"
,2098,Ресницы  BARBARA Kashtan C 0.10 4-11,"150,000"
,2099,Ресницы  BARBARA Kashtan D 0.07 7-15,"150,000"
,2100,Ресницы  BARBARA Tiramisu C 0.07 4-11,"150,000"
,2101,Ресницы  BARBARA Tiramisu C 0.07 7-15,"150,000"
,2102,Ресницы  BARBARA Tiramisu C 0.10 4-11,"150,000"
,2103,Ресницы  BARBARA Tiramisu D 0.07 7-15,"150,000"
,2104,Ресницы  BARBARA Tiramisu M 0.07 4-11,"165,000"
,2105,Ресницы  BARBARA Tiramisu M 0.10 4-11,"160,000"
,2106,Ресницы  BARBARA Tiramisu M 0.10 7-15,"160,000"
,2107,Ресницы  BARBARA горький шоколад C 0.07*5-7,"149,000"
,2108,Ресницы  BARBARA горький шоколад C 0.07*7-12,"149,000"
,2109,Ресницы  BARBARA горький шоколад C 0.07*7-15,"149,000"
,2110,Ресницы  BARBARA горький шоколад C 0.10*5-7,"149,000"
,2111,Ресницы  BARBARA горький шоколад C 0.10*7-12,"149,000"
,2112,Ресницы  BARBARA горький шоколад C 0.10*7-15,"149,000"
,2113,Ресницы  BARBARA горький шоколад C+ 0.07*7-12,"149,000"
,2114,Ресницы  BARBARA горький шоколад C+ 0.07*7-15,"149,000"
,2115,Ресницы  BARBARA горький шоколад C+ 0.10*7-12,"149,000"
,2116,Ресницы  BARBARA горький шоколад C+ 0.10*7-15,"149,000"
,2117,Ресницы  BARBARA горький шоколад D 0.06*7-12,"149,000"
,2118,Ресницы  BARBARA горький шоколад D 0.06*7-15,"149,000"
,2119,Ресницы  BARBARA горький шоколад D 0.07*7-12,"149,000"
,2120,Ресницы  BARBARA горький шоколад D 0.07*7-15,"149,000"
,2121,Ресницы  BARBARA горький шоколад D 0.10*5-7,"149,000"
,2122,Ресницы  BARBARA горький шоколад D 0.10*7-12,"149,000"
,2123,Ресницы  BARBARA горький шоколад D 0.10*7-15,"149,000"
,2124,Ресницы  BARBARA горький шоколад L 0.07*7-12,"149,000"
,2125,Ресницы  BARBARA горький шоколад L 0.07*7-15,"145,000"
,2126,Ресницы  BARBARA горький шоколад L 0.10*7-12,"145,000"
,2127,Ресницы  BARBARA горький шоколад L 0.10*7-15,"145,000"
,2128,Ресницы  BARBARA горький шоколад M 0.07*7-12,"190,000"
,2129,Ресницы  BARBARA горький шоколад M 0.07*7-15,"190,000"
,2130,Ресницы  BARBARA горький шоколад M 0.10*7-12,"190,000"
,2131,Ресницы  BARBARA горький шоколад M 0.10*7-15,"190,000"
,2132,"Ресницы  BARBARA Омбре Г.шок С 0,07*7-15","149,000"
,2133,Ресницы  BARBARA темно коричневые  C 0.07*7-12,"149,000"
,2134,Ресницы  BARBARA темно коричневые  C 0.07*7-15,"149,000"
,2135,Ресницы  BARBARA темно коричневые  C 0.10*7-12,"149,000"
,2136,Ресницы  BARBARA темно коричневые  C 0.10*7-15,"149,000"
,2137,Ресницы  BARBARA темно коричневые  D 0.07*7-12,"149,000"
,2138,Ресницы  BARBARA темно коричневые  D 0.07*7-15,"149,000"
,2139,Ресницы  BARBARA темно коричневые  D 0.10*7-12,"149,000"
,2140,Ресницы  BARBARA темно коричневые  D 0.10*7-15,"149,000"
,2141,Ресницы  BARBARA темно коричневые  L 0.07*5-7,"145,000"
,2142,Ресницы  BARBARA темно коричневые  L 0.07*7-12,"145,000"
,2143,Ресницы  BARBARA темно коричневые  L 0.10*5-7,"145,000"
,2144,Ресницы  BARBARA темно коричневые  L 0.10*7-12,"145,000"
,2145,Ресницы  BARBARA темно коричневые  L 0.10*7-15,"145,000"
,2146,Ресницы  BARBARA темно коричневые  С 0.07*5-7,"149,000"
,2147,Ресницы  BARBARA темно коричневые  С 0.10*5-7,"149,000"
,2148,Ресницы  BARBARA темно коричневые  С+ 0.07*5-13,"149,000"
,2149,Ресницы  BARBARA темно коричневые  С+ 0.10*5-13,"149,000"
,2150,Ресницы  Rili choco B 0.07*5-7,"75,000"
,2151,Ресницы  Rili choco B 0.07*6-13,"75,000"
,2152,Ресницы  Rili choco B 0.10*5-7,"75,000"
,2153,Ресницы  Rili choco B 0.10*6-13,"75,000"
,2154,Ресницы  Rili choco C 0.07*5-20,"75,000"
,2155,Ресницы  Rili choco C 0.07*5-7,"75,000"
,2156,Ресницы  Rili choco C 0.07*6-13,"75,000"
,2157,Ресницы  Rili choco C 0.07*8-15,"75,000"
,2158,Ресницы  Rili choco C 0.10*5-20,"75,000"
,2159,Ресницы  Rili choco C 0.10*5-7,"75,000"
,2160,Ресницы  Rili choco C 0.10*6-13,"75,000"
,2161,Ресницы  Rili choco C 0.10*8-15,"75,000"
,2162,Ресницы  Rili choco C+ 0.07*6-13,"75,000"
,2163,Ресницы  Rili choco C+ 0.07*8-15,"75,000"
,2164,Ресницы  Rili choco C+ 0.10*6-13,"75,000"
,2165,Ресницы  Rili choco C+ 0.10*8-15,"75,000"
,2166,Ресницы  Rili choco CC 0.07*6-13,"75,000"
,2167,Ресницы  Rili choco CC 0.07*8-15,"75,000"
,2168,Ресницы  Rili choco CC 0.10*6-13,"75,000"
,2169,Ресницы  Rili choco CС 0.10*8-15,"75,000"
,2170,Ресницы  Rili choco D 0.07*5-20,"75,000"
,2171,Ресницы  Rili choco D 0.07*5-7,"75,000"
,2172,Ресницы  Rili choco D 0.07*6-13,"75,000"
,2173,Ресницы  Rili choco D 0.07*8-15,"75,000"
,2174,Ресницы  Rili choco D 0.10*5-20,"75,000"
,2175,Ресницы  Rili choco D 0.10*5-7,"75,000"
,2176,Ресницы  Rili choco D 0.10*6-13,"75,000"
,2177,Ресницы  Rili choco D 0.10*8-15,"75,000"
,2178,Ресницы  Rili Cookie C 0.07*6-13,"75,000"
,2179,Ресницы  Rili Cookie C 0.07*8-15,"75,000"
,2180,Ресницы  Rili Cookie C 0.10*6-13,"75,000"
,2181,Ресницы  Rili Cookie C 0.10*8-15,"75,000"
,2182,Ресницы  Rili Cookie D 0.07*6-13,"75,000"
,2183,Ресницы  Rili Cookie D 0.07*8-15,"75,000"
,2184,Ресницы  Rili Cookie D 0.10*6-13,"75,000"
,2185,Ресницы  Rili Cookie D 0.10*8-15,"75,000"
,2186,Ресницы  Rili Toffee C 0.07*6-13,"75,000"
,2187,Ресницы  Rili Toffee C 0.07*8-15,"75,000"
,2188,Ресницы  Rili Toffee C 0.10*5-7,"75,000"
,2189,Ресницы  Rili Toffee C 0.10*6-13,"75,000"
,2190,Ресницы  Rili Toffee C 0.10*8-15,"75,000"
,2191,Ресницы  Rili Toffee D 0.07*6-13,"75,000"
,2192,Ресницы  Rili Toffee D 0.07*8-15,"75,000"
,2193,Ресницы  Rili Toffee D 0.10*6-13,"75,000"
,2194,Ресницы  Rili Toffee D 0.10*8-15,"75,000"
,2195,Ресницы  Rili choco D 0.07*10,"70,000"
,2196,Ресницы  Rili choco D 0.07*11,"70,000"
,2197,Ресницы  Rili choco D 0.07*12,"70,000"
,2198,Ресницы  Rili choco D 0.07*13,"70,000"
,2199,Ресницы  Rili choco D 0.07*14,"70,000"
,2200,Ресницы  Rili choco D 0.07*15,"70,000"
,2201,Ресницы  Rili choco D 0.07*6,"70,000"
,2202,Ресницы  Rili choco D 0.07*7,"70,000"
,2203,Ресницы  Rili choco D 0.07*8,"70,000"
,2204,Ресницы  Rili choco D 0.07*9,"70,000"
,2205,Ресницы  Rili choco D 0.10 10,"70,000"
,2206,Ресницы  Rili choco D 0.10 11,"70,000"
,2207,Ресницы  Rili choco D 0.10 12,"70,000"
,2208,Ресницы  Rili choco D 0.10 13,"70,000"
,2209,Ресницы  Rili choco D 0.10 8,"70,000"
,2210,Ресницы  Rili choco D 0.10*14,"70,000"
,2211,Ресницы  Rili choco D 0.10*7,"70,000"
,2212,Ресницы  Rili choco D 0.10*9,"70,000"
,2213,Ресницы  Rili choco С 0.07*10,"70,000"
,2214,Ресницы Rili choco С 0.07*11,"70,000"
,2215,Ресницы Rili choco С 0.07*12,"70,000"
,2216,Ресницы Rili choco С 0.07*13,"70,000"
,2217,Ресницы Rili choco С 0.07*14,"70,000"
,2218,Ресницы Rili choco С 0.07*5,"70,000"
,2219,Ресницы Rili choco С 0.07*6,"70,000"
,2220,Ресницы Rili choco С 0.07*7,"70,000"
,2221,Ресницы Rili choco С 0.07*8,"70,000"
,2222,Ресницы Rili choco С 0.07*9,"70,000"
,2223,Ресницы Rili choco С 0.10*10,"70,000"
,2224,Ресницы Rili choco С 0.10*11,"70,000"
,2225,Ресницы Rili choco С 0.10*12,"70,000"
,2226,Ресницы Rili choco С 0.10*13,"70,000"
,2227,Ресницы Rili choco С 0.10*14,"70,000"
,2228,Ресницы Rili choco С 0.10*15,"70,000"
,2229,Ресницы Rili choco С 0.10*6,"70,000"
,2230,Ресницы Rili choco С 0.10*7,"70,000"
,2231,Ресницы Rili choco С 0.10*8,"70,000"
,2232,Ресницы Rili choco С 0.10*9,"70,000"
,2233,Ресницы i-BEAUTY Brown C 0.07*10,"90,000"
,2234,Ресницы i-BEAUTY Brown C 0.07*11,"90,000"
,2235,Ресницы i-BEAUTY Brown C 0.07*12,"90,000"
,2236,Ресницы i-BEAUTY Brown C 0.07*13,"90,000"
,2237,Ресницы i-BEAUTY Brown C 0.07*8,"90,000"
,2238,Ресницы i-BEAUTY Brown C 0.07*8-15,"90,000"
,2239,Ресницы i-BEAUTY Brown C 0.07*9,"90,000"
,2240,Ресницы i-BEAUTY Brown C 0.10*10,"90,000"
,2241,Ресницы i-BEAUTY Brown C 0.10*11,"90,000"
,2242,Ресницы i-BEAUTY Brown C 0.10*12,"90,000"
,2243,Ресницы i-BEAUTY Brown C 0.10*13,"90,000"
,2244,Ресницы i-BEAUTY Brown C 0.10*14,"90,000"
,2245,Ресницы i-BEAUTY Brown C 0.10*8,"90,000"
,2246,Ресницы i-BEAUTY Brown C 0.10*8-15,"90,000"
,2247,Ресницы i-BEAUTY Brown C 0.10*9,"90,000"
,2248,Ресницы i-BEAUTY Brown CC 0.07*8-15,"90,000"
,2249,Ресницы i-BEAUTY Brown CC 0.10*8-15,"90,000"
,2250,Ресницы i-BEAUTY Brown D 0.07*8-15,"90,000"
,2251,Ресницы i-BEAUTY Brown D 0.10*8-15,"90,000"
,2252,Ресницы i-BEAUTY dark Brown C 0.07*8-15,"115,000"
,2253,Ресницы i-BEAUTY dark Brown C 0.10*10,"90,000"
,2254,Ресницы i-BEAUTY dark Brown C 0.10*11,"90,000"
,2255,Ресницы i-BEAUTY dark Brown C 0.10*12,"90,000"
,2256,Ресницы i-BEAUTY dark Brown C 0.10*13,"90,000"
,2257,Ресницы i-BEAUTY dark Brown C 0.10*14,"90,000"
,2258,Ресницы i-BEAUTY dark Brown C 0.10*8,"90,000"
,2259,Ресницы i-BEAUTY dark Brown C 0.10*8-15,"115,000"
,2260,Ресницы i-BEAUTY dark Brown C 0.10*9,"90,000"
,2261,Ресницы i-BEAUTY dark Brown CC 0.07*12,"90,000"
,2262,Ресницы i-BEAUTY dark Brown CC 0.07*13,"90,000"
,2263,Ресницы i-BEAUTY dark Brown CC 0.07*14,"90,000"
,2264,Ресницы i-BEAUTY dark Brown CC 0.07*8-15,"115,000"
,2265,Ресницы i-BEAUTY dark Brown CC 0.10*12,"90,000"
,2266,Ресницы i-BEAUTY dark Brown CC 0.10*13,"90,000"
,2267,Ресницы i-BEAUTY dark Brown CC 0.10*14,"90,000"
,2268,Ресницы i-BEAUTY dark Brown CC 0.10*8-15,"115,000"
,2269,Ресницы i-BEAUTY dark Brown D 0.07*8-15,"115,000"
,2270,Ресницы i-BEAUTY dark Brown D 0.10*8-15,"115,000"
,2271,BIOCOLORS Корректор белый 5мл,"170,000"
,2272, BIOCOLORS Корректор Мандарин 5мл,"170,000"
,2273, AS COMPANY OPIUM C1-BRICK корректор для сине серых бровей 6 мл,"165,000"
,2274, AS COMPANY OPIUM C2 TINA корректор для красных бровей 6 мл,"165,000"
,2275, AS COMPANY OPIUM Super White 6ml,"165,000"
,2276,(14405)AS COMPANY Корректор ORANGE 6 мл,"165,000"
,2277,AS COMPANY Корректор для фиолетовых бровей 6 мл,"165,000"
,2278,Golden Corrector,"395,000"
,2279,Olive corrector,"359,000"
,2280,Olive green corrector,"359,000"
,2281,Soft yellow corrector,"395,000"
,2282,Tina?s gold sunrise,"395,000"
,2283,"Пигмент Etalon Mix камуфляж ""SKIN 1"" 10ml","390,000"
,2284,"Пигмент Etalon Mix камуфляж ""SKIN 1"" 5ml","238,000"
,2285,"Пигмент Etalon Mix камуфляж ""SKIN 2"" 10ml","390,000"
,2286,"Пигмент Etalon Mix камуфляж ""SKIN 2"" 5ml","238,000"
,2287,"Пигмент Etalon Mix камуфляж ""SKIN 3"" 10ml","390,000"
,2288,"Пигмент Etalon Mix камуфляж ""SKIN 3"" 5ml","238,000"
,2289,"Пигмент Etalon Mix камуфляж ""SKIN 4"" 10ml","390,000"
,2290,"Пигмент Etalon Mix камуфляж ""SKIN 4"" 5ml","238,000"
,2291,"Пигмент Etalon Mix камуфляж ""SKIN 5"" 10ml","390,000"
,2292,"Пигмент Etalon Mix камуфляж ""SKIN 6"" 5ml","238,000"
,2293,Пигмент Etalon Mix Корректор Желтый 15мл,"478,000"
,2294,Пигмент Etalon Mix Корректор Желтый 5мл,"238,000"
,2295,Пигмент Etalon Mix Корректор Оранжевый 15мл,"478,000"
,2296,Пигмент Etalon Mix Корректор Оранжевый 5мл,"238,000"
,2297,Пигмент Etalon Mix Корректор Терракотовый 15мл,"478,000"
,2298,Пигмент Etalon Mix Корректор Терракотовый 5мл,"238,000"
,2299,Bronsun Крем краска #1 черная 15 мл,"64,000"
,2300,Bronsun Крем краска #2 иссиня-черная 15 мл,"64,000"
,2301,Bronsun Крем краска #3 графит 15 мл,"64,000"
,2302,Bronsun Крем краска #4 каштан 15 мл,"64,000"
,2303,Bronsun Крем краска #5 светло-коричневый 15 мл,"64,000"
,2304,Bronsun Крем краска #6 коричневая 15 мл,"64,000"
,2305,Bronsun Крем краска #7 темно-коричневый 15 мл,"64,000"
,2306,Bronsun Набор крем-красок с оксидом NE (нечаева)W (Лимитированная серия),"499,000"
,2307,"Avital Eyeforia Plex system 10ml средство для восстановления после химического воздействия для ресниц, для бровей plex systemдля ламинирования ресниц и бровей","160,000"
,2308,Avital Валики multicolor,"120,000"
,2309,Avital Валики Purple,"120,000"
,2310,Avital Кисть L1 черная,"45,000"
,2311,Avital Кисть А1 черная,"45,000"
,2312,Avital Кисть А2 черная,"45,000"
,2313,Avital Кисть А3 черная,"45,000"
,2314,Avital Клей бальзам балийский кокос 5g,"120,000"
,2315,Avital Клей для лами NORMAL,"100,000"
,2316,Avital Клей-воск для ламин PEACH,"100,000"
,2317,Avital крем барьер Brow protector,"115,000"
,2318,Avital Набор для ламинирования,"540,000"
,2319,Avital Набор кистей black,"180,000"
,2320,Avital Набор кистей white,"140,000"
,2321,Avital Пммра для лами NOT GLUE,"180,000"
,2322,Avital состав для ламинирования  1 ,"150,000"
,2323,Avital состав для ламинирования  2 ,"150,000"
,2324,Avital состав для ламинирования  3 ,"150,000"
,2325,Броу Хенна Fix-X Lami Powder Glue 3 мл,"180,000"
,2326,Броу Хенна MONO STEP Lamination 10ml,"155,000"
,2327,Броу Хенна Plex Bond Recovery 10 мл,"125,000"
,2328,Броу Хенна клей для ламинирования 5мл,"139,000"
,2329,Броу Хенна Набор для ламинир LamiPlex Express,"415,000"
,2330,FreiAVIVER Glue balm клей-бальзам Blueberry,"115,000"
,2331,FreiAVIVER Glue balm клей-бальзам Bubble gum,"115,000"
,2332,FreiAviver Ботокс для бровей и ресниц 10ml,"159,000"
,2333,FreiAviver Ботокс с церамидами 15мл,"215,000"
,2334,"FreiAVIVER Клей для ламинации FIXING GLUE HARD, 7мл","110,000"
,2335,"FreiAVIVER Клей для лами FIXING GLUE, 7мл","110,000"
,2336,FreiAVIVER Набор для ламинирования ,"235,000"
,2337,FreiAVIVER Набор для ламинирования ,"395,000"
,2338,FreiAVIVER Набор для ламинирования ,"560,000"
,2339,FreiAviver Набор состав. для ламинир ,"120,000"
,2340,FreiAviver Состав для ламинирования ресниц и бровей  №1 Perm Cream 15ml,"215,000"
,2341,FreiAviver Состав для ламинирования ресниц и бровей  №2 Setting Cream 15ml,"215,000"
,2342,FreiAviver Состав для ламинирования ресниц и бровей  №3 Magic Cream 15ml,"215,000"
,2343,FreiAVIVERxKillTrend Силиконовый пад для бровей DUO голубой,"52,000"
,2344,FreiAVIVERxKillTrend Силиконовый пад для бровей DUO лайм,"52,000"
,2345,FreiAVIVERxKillTrend Силиконовый пад для бровей DUO розовый,"52,000"
,2346,FreiAVIVERxKillTrend Силиконовый пад для бровей DUO сирен.,"52,000"
,2347,FreiAVIVERxKillTrend Силиконовый пад для бровей DUO черный,"52,000"
,2348,FreiAVIVERxKillTrend Силиконовый пад для бровей MIDL голубой,"52,000"
,2349,FreiAVIVERxKillTrend Силиконовый пад для бровей MIDL лайм,"52,000"
,2350,FreiAVIVERxKillTrend Силиконовый пад для бровей MIDL розовый,"52,000"
,2351,FreiAVIVERxKillTrend Силиконовый пад для бровей MIDL сирен.,"52,000"
,2352,FreiAVIVERxKillTrend Силиконовый пад для бровей MIDL черный,"52,000"
,2353,Ботокс счастье для бровей Arctic BLUE. 20мл,"270,000"
,2354,Ботокс счастье для бровей L+B2 Lifting+Botox. 20мл,"255,000"
,2355,Ботокс счастье для бровей O2 GOLD. 20мл,"290,000"
,2356,Ботокс счастье для бровей O2Farm. 20мл,"260,000"
,2357,Клей бальзам LAMI 20мл,"360,000"
,2358,Клей стик EYE.DO 5гр,"175,000"
,2359,Ресницы Лавли Серия Silicon M 0.07 10mm,"100,000"
,2360,Ресницы Лавли Серия Silicon M 0.07 10mm ,"88,000"
,2361,Ресницы Лавли Серия Silicon M 0.07 11mm,"100,000"
,2362,Ресницы Лавли Серия Silicon M 0.07 12mm,"100,000"
,2363,Ресницы Лавли Серия Silicon M 0.07 13mm,"100,000"
,2364,Ресницы Лавли Серия Silicon M 0.07 13mm ,"88,000"
,2365,Ресницы Лавли Серия Silicon M 0.07 14mm,"100,000"
,2366,Ресницы Лавли Серия Silicon M 0.07 14mm ,"88,000"
,2367,Ресницы Лавли Серия Silicon M 0.07 15mm,"100,000"
,2368,Ресницы Лавли Серия Silicon M 0.07 7mm,"100,000"
,2369,Ресницы Лавли Серия Silicon M 0.07 8mm,"100,000"
,2370,Ресницы Лавли Серия Silicon M 0.07 9mm,"100,000"
,2371,Ресницы Лавли Серия Silicon M 0.07 9mm ,"88,000"
,2372,Ресницы Лавли Серия Silicon M 0.10 10mm,"100,000"
,2373,Ресницы Лавли Серия Silicon M 0.10 10mm ,"88,000"
,2374,Ресницы Лавли Серия Silicon M 0.10 11mm,"100,000"
,2375,Ресницы Лавли Серия Silicon M 0.10 12mm,"100,000"
,2376,Ресницы Лавли Серия Silicon M 0.10 13mm,"100,000"
,2377,Ресницы Лавли Серия Silicon M 0.10 14mm,"100,000"
,2378,Ресницы Лавли Серия Silicon M 0.10 15mm,"100,000"
,2379,Ресницы Лавли Серия Silicon M 0.10 7mm,"100,000"
,2380,Ресницы Лавли Серия Silicon M 0.10 8mm,"100,000"
,2381,Ресницы Лавли Серия Silicon M 0.10 8mm ,"88,000"
,2382,Ресницы Лавли Серия Silicon M 0.10 9mm,"100,000"
,2383,Ресницы Лавли Серия Silicon M 0.10 9mm ,"88,000"
,2384,Ресницы Лавли Серия Silicon MIX M 0.07*15-18mm ,"88,000"
,2385,Ресницы Лавли Серия Silicon MIX M 0.07*7-12mm,"100,000"
,2386,Ресницы Лавли Серия Silicon MIX M 0.07*8-15mm,"100,000"
,2387,Ресницы Лавли Серия Silicon MIX M 0.07*8-15mm ,"88,000"
,2388,Ресницы Лавли Серия Silicon MIX M 0.10*15-18mm ,"88,000"
,2389,Ресницы Лавли Серия Silicon MIX M 0.10*7-12mm,"100,000"
,2390,Ресницы Лавли Серия Silicon MIX M 0.10*8-15mm,"100,000"
,2391,Ресницы Лавли Серия Silicon MIX M 0.12*7-12mm,"100,000"
,2392,Ресницы ENIGMA Мокка L 0.07*11,"185,000"
,2393,Ресницы ENIGMA Мокка L 0.07*12,"185,000"
,2394,Ресницы ENIGMA Мокка L 0.07*6-13,"195,000"
,2395,Ресницы ENIGMA Мокка L 0.07*7-14,"195,000"
,2396,Ресницы ENIGMA Мокка L 0.07*8,"209,000"
,2397,Ресницы ENIGMA Мокка L 0.10*10,"185,000"
,2398,Ресницы ENIGMA Мокка L 0.10*11,"185,000"
,2399,Ресницы ENIGMA Мокка L 0.10*12,"185,000"
,2400,Ресницы ENIGMA Мокка L 0.10*6-13,"195,000"
,2401,Ресницы ENIGMA Мокка L 0.10*7-14,"195,000"
,2402,Ресницы ENIGMA Мокка M 0.07*10,"215,000"
,2403,Ресницы ENIGMA Мокка M 0.07*11,"215,000"
,2404,Ресницы ENIGMA Мокка M 0.07*6-13,"190,000"
,2405,Ресницы ENIGMA Мокка M 0.07*7-14,"225,000"
,2406,Ресницы ENIGMA Мокка M 0.07*9,"215,000"
,2407,Ресницы ENIGMA Мокка M 0.10*10,"215,000"
,2408,Ресницы ENIGMA Мокка M 0.10*11,"215,000"
,2409,Ресницы ENIGMA Мокка M 0.10*6-13,"190,000"
,2410,Ресницы ENIGMA Мокка M 0.10*9,"215,000"
